Longitude,Latitude,annee,diplome,NameOfUni,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_net_median_des_emplois_a_temps_plein,salaire_brut_annuel_estime,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,emplois_cadre,emplois_exterieurs_a_la_region_de_luniversite,femmes,salaire_net_mensuel_regional_1er_quartile,salaire_net_mensuel_regional_3eme_quartile
6.018688,43.136473,2013,MASTER LMD,Toulon - Sud Toulon Var France,Nice,"Lettres, langues, arts","Lettres, langues, arts",18 mois après le diplôme,15,78,8,ns,ns,ns,ns,ns,,36,11.4,1840,ns,ns,ns,1430,2210
6.018688,43.136473,2013,MASTER LMD,Toulon - Sud Toulon Var France,Nice,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,75,88,37,87,97,86,95,1700,26500,36,11.4,1840,78,64,30,1430,2210
6.018688,43.136473,2013,MASTER LMD,Toulon - Sud Toulon Var France,Nice,Sciences humaines et sociales,Information communication,18 mois après le diplôme,75,88,37,93,89,82,96,1590,24700,36,11.4,1840,62,64,30,1430,2210
4.805528,43.94931700000001,2013,MASTER ENS,Avignon France,Aix-Marseille,Masters enseignement,Masters enseignement,30 mois après le diplôme,3,60,100,ns,ns,ns,ns,ns,,,11.4,1840,ns,ns,ns,1430,2210
4.805528,43.94931700000001,2013,MASTER LMD,Avignon France,Aix-Marseille,"Droit, économie et gestion",Droit,30 mois après le diplôme,4,62,5,ns,ns,ns,ns,ns,,41,11.4,1840,ns,ns,ns,1430,2210
4.805528,43.94931700000001,2013,MASTER LMD,Avignon France,Aix-Marseille,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,16,68,12,ns,ns,ns,ns,ns,,41,11.4,1840,ns,ns,ns,1430,2210
4.805528,43.94931700000001,2013,MASTER LMD,Avignon France,Aix-Marseille,Sciences humaines et sociales,Information communication,30 mois après le diplôme,28,83,21,ns,ns,ns,ns,ns,,41,11.4,1840,ns,ns,ns,1430,2210
4.805528,43.94931700000001,2013,MASTER LMD,Avignon France,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",18 mois après le diplôme,1,100,1,ns,nd,ns,ns,nd,,41,11.4,1840,nd,ns,ns,1430,2210
0.340375,46.58022400000001,2013,MASTER LMD,Poitiers France,Poitiers,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,229,57,55,94,76,73,98,1850,28900,41,9.6,1730,46,54,60,1390,2040
0.340375,46.58022400000001,2013,MASTER LMD,Poitiers France,Poitiers,Sciences humaines et sociales,Histoire-géographie,18 mois après le diplôme,14,76,2,ns,ns,ns,ns,ns,,41,9.6,1730,ns,ns,ns,1390,2040
